id;datum;duzina;sirina;steta;vozila;opis
1203537;01.01.2018,17:50;20,46804;44,78468;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA;Sudar sa parkiranim vozilom sa desne strane kolovoza
1203512;01.01.2018,15:25;20,45529;44,80735;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Najmanje dva vozila koja se kreæu u istom smeru – ukljuèivanje u saobraæaj
1203466;01.01.2018,00:10;20,51509;44,813862;Sa mat.stetom;SN SA JEDNIM VOZILOM;Nezgoda sa jednim vozilom na kolovozu
1203518;01.01.2018,13:20;20,388714;44,822182;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA;Ostali sudari sa parkiranim vozilom
1203521;01.01.2018,00:05;20,26463;44,38069;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA;Sudar sa parkiranim vozilom sa leve strane kolovoza
1203625;01.01.2018,04:30;20,408376;44,761337;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA;Sudar sa parkiranim vozilom sa leve strane kolovoza
1203627;01.01.2018,14:00;20,48107177;44,76962795;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA;Sudar sa parkiranim vozilom sa desne strane kolovoza
1204524;01.01.2018,21:00;20,70884;44,68153;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Ostale nezgode sa najmanje dva vozila – suprotni smerovi bez skretanja
1203519;01.01.2018,12:00;20,460052;44,80834;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA;Sudar sa parkiranim vozilom sa desne strane kolovoza
1203717;01.01.2018,02:50;20,431599;44,733674;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Najmanje dva vozila – èeoni sudar
1203533;01.01.2018,17:30;20,466;44,81109;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA;Sudar sa parkiranim vozilom sa desne strane kolovoza
1205276;01.01.2018,21:30;20,378977;44,805375;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Najmanje dva vozila koja se kreæu u istom smeru – sudar pri uporednoj vožnji
1203497;01.01.2018,04:00;20,51422;44,77961;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA;Sudar sa parkiranim vozilom sa desne strane kolovoza
1203526;01.01.2018,14:30;20,539671;44,789529;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA;Sudar sa parkiranim vozilom sa desne strane kolovoza
1203745;01.01.2018,16:20;20,66976;44,39347;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Ostale nezgode sa najmanje dva vozila – suprotni smerovi bez skretanja
1203476;01.01.2018,03:50;20,3822;44,811;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK;Najmanje dva vozila koja se kreæu istim putem u istom smeru uz skretanje, skretanje ulevo ispred drugog vozila
1204647;01.01.2018,18:20;20,47743;44,8037;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK;Najmanje dva vozila koja se kreæu razlièitim putevima uz prolazak kroz raskrsnicu, ili od kojih jedno prelazi preko kolovoza, bez skretanja
1203558;01.01.2018,22:00;20,38872;44,81207;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK;Najmanje dva vozila koja se kreæu istim putem u istom smeru uz skretanje, skretanje ulevo ispred drugog vozila
1203517;01.01.2018,03:20;20,449724;44,819257;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK;Najmanje dva vozila koja se kreæu istim putem u istom smeru uz skretanje, skretanje ulevo ispred drugog vozila
1203513;01.01.2018,01:00;20,26463;44,38069;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA;Ostali sudari sa parkiranim vozilom
1204000;01.01.2018,00:00;20,46714;44,79128;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Najmanje dva vozila koja se kreæu u istom smeru – sustizanje
1203546;01.01.2018,19:45;20,4642;44,818652;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Ostali sudari sa najmanje dva vozila koja se kreæu u istom smeru – ostalo
1203541;01.01.2018,17:00;20,489806;44,801021;Sa mat.stetom;SN SA PARKIRANIM VOZILIMA;Sudar sa parkiranim vozilom sa leve strane kolovoza
1203746;01.01.2018,03:30;20,40212;44,84932;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK;Najmanje dva vozila koja se kreæu istim putem u suprotnim smerovima uz skretanje ulevo ispred drugog vozila
1203426;01.01.2018,00:35;20,48375;44,85341;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – SKRETANjE ILI PRELAZAK;Najmanje dva vozila koja se kreæu istim putem u istom smeru uz skretanje, skretanje ulevo ispred drugog vozila
1203437;01.01.2018,07:50;20,49598;44,817675;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Najmanje dva vozila koja se kreæu u istom smeru – sustizanje
1203560;01.01.2018,23:30;20,46621;44,80327;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Najmanje dva vozila koja se kreæu u istom smeru – sustizanje
1204666;02.01.2018,18:15;20,19911;44,66446;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Najmanje dva vozila koja se kreæu u istom smeru – sustizanje
1203687;02.01.2018,22:20;20,460376;44,805791;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Najmanje dva vozila koja se kreæu u istom smeru – sudar pri uporednoj vožnji
1203774;02.01.2018,14:30;20,40799;44,75938;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Najmanje dva vozila koja se kreæu u istom smeru – sustizanje
1203664;02.01.2018,16:30;20,415719;44,786989;Sa povredjenim;SN SA PEŠACIMA;Prelazak pešaka zdesna , u raskrsnici, bez skretanja vozila
1204704;02.01.2018,20:45;20,43428;44,81497;Sa mat.stetom;SN SA PEŠACIMA;Prelazak pešaka zdesna, van raskrsnice, bez skretanja vozila
1203776;02.01.2018,12:00;20,48126;44,80691;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Najmanje dva vozila koja se kreæu u istom smeru – ukljuèivanje u saobraæaj
1203676;02.01.2018,18:30;20,450106;44,74827;Sa mat.stetom;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Najmanje dva vozila koja se kreæu u istom smeru – ukljuèivanje u saobraæaj
1203701;02.01.2018,15:15;20,39971;44,80461;Sa povredjenim;SN SA NAJMANjE DVA VOZILA – BEZ SKRETANjA;Najmanje dva vozila koja se kreæu u istom smeru – sustizanje
1203474;02.01.2018,18:15;20,49723;44,81785;Sa povredjenim;SN SA PEŠACIMA;Prelazak pešaka sleva, sa skretanjem vozila ulevo, u raskrsnici
